CardID,Nature,Value,Rarity,TranslationText,Sktchtext
int,string,float,int,string,string
1,movespeed,0.3,3,移动速度+30%,skillCard_Lightning_1
2,WeaponDamage,1.5,3,武器伤害+150%,skillCard_Lightning_2
3,LightningAmount,3,3,闪电数量+3,skillCard_Lightning_3
4,SkillDamage,1.5,3,闪电伤害+150%,skillCard_Lightning_4
5,SkillAmount,2,3,闪电连续释放2次,skillCard_Lightning_5
6,LightningRange,3,3,闪电爆炸范围+3m,skillCard_Lightning_6
7,LightningExplosion,1,3,每道闪电命中时，额外造成一次100%伤害的大范围爆炸,skillCard_Lightning_7
8,WeaponLightningProb,0.15,3,武器闪电触发几率+15%,skillCard_Lightning_8
9,ReloadBuff,0.3,3,每次换弹后的5秒内，射速提升30%,skillCard_Lightning_9
10,ReloadSpeed,0.75,3,换弹速度提升75%,skillCard_Lightning_10
11,movespeed,0.2,2,移动速度+20%,skillCard_Lightning_11
12,WeaponDamage,0.8,2,武器伤害+80%,skillCard_Lightning_12
13,LightningAmount,2,2,闪电数量+2,skillCard_Lightning_13
14,SkillCD,0.3,2,技能冷却-30%,skillCard_Lightning_14
15,SkillDamage,0.8,2,闪电伤害+80%,skillCard_Lightning_15
16,LightningRange,2,2,闪电爆炸范围+2m,skillCard_Lightning_16
17,LightningExplosion,0.5,2,闪电命中产生小爆炸,skillCard_Lightning_17
18,ReloadNow,0,2,技能后立刻装弹,skillCard_Lightning_18
19,WeaponLightningProb,0.1,2,武器闪电触发几率+10%,skillCard_Lightning_19
20,WeaponMaxMagazine,10,2,弹匣容量+10,skillCard_Lightning_20
21,AttackSpeed,0.2,2,攻击速度+20%,skillCard_Lightning_21
22,ReloadSpeed,0.5,2,换弹速度提升50%,skillCard_Lightning_22
23,movespeed,0.1,1,移动速度+10% ,skillCard_Lightning_23
24,WeaponDamage,0.5,1,武器伤害+50%,skillCard_Lightning_24
25,LightningAmount,1,1,闪电数量+1,skillCard_Lightning_25
26,SkillCD,0.15,1,技能冷却-15%,skillCard_Lightning_26
27,SkillDamage,0.5,1,闪电伤害+50%,skillCard_Lightning_27
28,LightningRange,1,1,闪电爆炸范围+1m,skillCard_Lightning_28
29,WeaponLightningProb,0.05,1,武器闪电触发几率+5%,skillCard_Lightning_29
30,ReloadSpeed,0.25,1,换弹速度提升25%,skillCard_Lightning_30
