CardID,Nature,Value,Rarity,TranslationText,Sktchtext,,
int,string,float,int,string,string,,
1,movespeed,0.3,3,移动速度+30%,skillCard_Role_1,,Movement Speed +{0}%
2,WeaponDamage,1.5,3,武器伤害+150%,skillCard_Role_2,,
3,SkillRange,6,3,爆裂轰炸范围+6,skillCard_Role_3,,
4,SkillDamage,1.5,3,爆裂轰炸伤害+150%,skillCard_Role_4,,
5,SkillAmount,2,3,爆裂轰炸连续释放2次,skillCard_Role_5,,
6,SkillFireDamage,1.5,3,爆裂轰炸附带3s燃烧伤害（大量）,skillCard_Role_6,,
7,WeaponBoomRange,3,3,榴弹爆炸范围+3,skillCard_Role_7,,
8,WeaponBoomProbability,0.5,3,普攻有50%概率触发榴弹,skillCard_Role_8,,
9,WeaponDoubleBoom,1,3,榴弹击败敌人后立刻原地爆炸1次,skillCard_Role_9,,
10,WeaponBoomDamage,1.5,3,榴弹伤害+150%,skillCard_Role_10,,
11,ReloadSpeed,0.75,3,换弹速度提升75%,skillCard_Role_11,,
12,movespeed,0.2,2,移动速度+20%,skillCard_Role_12,,
13,WeaponDamage,0.8,2,武器伤害+80%,skillCard_Role_13,,
14,SkillRange,4,2,爆裂轰炸范围+4,skillCard_Role_14,,
15,SkillCD,0.3,2,爆裂轰炸冷却-30%,skillCard_Role_15,,
16,SkillDamage,0.8,2,爆裂轰炸伤害+80%,skillCard_Role_16,,
17,SkillFireDamage,1,2,爆裂轰炸附带3s燃烧伤害（中量）,skillCard_Role_17,,
18,ReloadNow,1,2,爆裂轰炸释放后立刻装弹。,skillCard_Role_18,,
19,WeaponBoomRange,2,2,榴弹爆炸范围+2,skillCard_Role_19,,
20,WeaponMaxMagazine,2,2,最大弹匣容量+2,skillCard_Role_20,,
21,WeaponBoomProbability,0.25,2,普攻有25%概率触发榴弹,skillCard_Role_21,,
22,WeaponBoomDamage,0.8,2,榴弹伤害+80%,skillCard_Role_22,,
23,ReloadSpeed,0.5,2,换弹速度提升50%,skillCard_Role_23,,
24,movespeed,0.1,1,移动速度+10% ,skillCard_Role_24,,
25,WeaponDamage,0.5,1,武器伤害+50%,skillCard_Role_25,,
26,SkillRange,2,1,爆裂轰炸范围+2,skillCard_Role_26,,
27,SkillCD,0.15,1,爆裂轰炸冷却-15%,skillCard_Role_27,,
28,SkillDamage,0.5,1,爆裂轰炸伤害+50%,skillCard_Role_28,,
29,SkillFireDamage,0.5,1,爆裂轰炸附带3s燃烧伤害（少量）,skillCard_Role_29,,
30,WeaponBoomRange,1,1,榴弹爆炸范围+1,skillCard_Role_30,,
31,WeaponBoomDamage,0.5,1,榴弹伤害+50%,skillCard_Role_31,,
32,ReloadSpeed,0.25,1,换弹速度提升25%,skillCard_Role_32,,
