ID,MonsterIDs,Amount,Timeinterval
int,string,string,string
1,"11,12,11,12,11,12,11,12,11","2,2,2,2,2,2,2,2,2","4,5,6,7,8,9,10,11,12"
2,"11,12,11,12,11,12,11,12,11,12","4,4,4,4,4,4,4,4,4,4","3,4,5,6,7,8,9,10,11,12"
3,"12,11,12,11,12,11,12,11,12","6,6,6,6,6,6,6,6,6","4,5,6,7,8,9,10,11,12"
4,"11,12,11,12,11,12,11,12,11","8,8,8,8,8,8,8,8,8","3,4,5,6,7,8,9,10,11"
5,"1,2,3,1,2,3,1,2,3","4,4,4,4,4,4,4,4,4","4,5,6,7,8,9,10,11,12"
6,"1,2,3,1,2,3,1,2,3,1","4,4,4,4,4,4,4,4,4,4","3,4,5,6,7,8,9,10,11,12"
7,"2,1,3,2,1,3,2,1,3","4,4,4,4,4,4,4,4,4","4,5,6,7,8,9,10,11,12"
8,"3,1,2,3,1,2,3,1,2","4,4,4,4,4,4,4,4,4","3,4,5,6,7,8,9,10,11"
9,"1,2,3,6,1,2,3,6","3,3,3,3,3,3,3,3","4,5,6,7,8,9,10,11"
10,"1,2,3,6,1,2,3,6,1","3,3,3,3,3,3,3,3,3","3,4,5,6,7,8,9,10,11"
11,"2,1,3,6,2,1,3,6","3,3,3,3,3,3,3,3","4,5,6,7,8,9,10,11"
12,"6,1,2,3,6,1,2,3","3,3,3,3,3,3,3,3","3,4,5,6,7,8,9,10,11"
13,"1,2,3,6,10,1,2,3,6","3,3,3,3,3,3,3,3,3","4,5,6,7,8,9,10,11,12"
14,"1,2,3,6,10,1,2,3,6,10","4,3,4,3,4,3,4,3,4,3","3,4,5,6,7,8,9,10,11,12"
15,"2,1,3,6,10,2,1,3,6","3,3,3,3,3,3,3,3,3","4,5,6,7,8,9,10,11,12"
16,"10,1,2,3,6,10,1,2,3","3,3,3,3,3,3,3,3,3","3,4,5,6,7,8,9,10,11"
17,"1,2,3,6,10,4,1,2,3,6","3,4,3,4,3,4,3,4,3,4","4,5,6,7,8,9,10,11,12,13"
18,"1,2,3,6,10,4,1,2,3,6,10","3,3,3,3,3,3,3,3,3,3,3","3,4,5,6,7,8,9,10,11,12,13"
19,"2,1,3,6,10,4,2,1,3,6","3,4,3,4,3,4,3,4,3,4","4,5,6,7,8,9,10,11,12,13"
20,"4,1,2,3,6,10,4,1,2,3","4,3,4,3,4,3,4,3,4,3","3,4,5,6,7,8,9,10,11,12"
21,"1,2,3,6,10,4,5,1,2,3","3,4,3,4,3,4,3,4,3,4","4,5,6,7,8,9,10,11,12,13"
22,"1,2,3,6,10,4,5,1,2,3,6","3,3,3,3,3,3,3,3,3,3,3","3,4,5,6,7,8,9,10,11,12,13"
23,"2,1,3,6,10,4,5,2,1,3","3,4,3,4,3,4,3,4,3,4","4,5,6,7,8,9,10,11,12,13"
24,"5,4,1,2,3,6,10,5,4,1","4,3,4,3,4,3,4,3,4,3","3,4,5,6,7,8,9,10,11,12"
25,"3,3,2,4,1,3,2,4,1,3","3,3,4,3,5,3,4,3,5,3","5,6,7,8,9,10,11,12,13,15"
26,"6,3,3,3,3,6,3,3,3,3","1,4,4,4,4,1,4,4,4,4","9,10,11,12,13,14,15,16,17,23"
27,"1,2,3,4,5,6,10,5,4,3","4,4,3,3,4,2,3,3,3,4","2,3,4,5,6,7,8,9,10,6"
28,"2,3,4,10,1,4,3,2,1","3,3,3,3,4,3,3,4,4","3,4,5,6,7,8,9,10,8"
29,"6,10,5,3,1,4,2,5,3","2,3,3,4,4,3,3,3,4","9,10,11,12,13,14,15,16,0"
30,"3,4,5,6,10,3,4,5,6,10","3,3,3,1,4,3,3,3,1,4","5,6,7,8,9,10,11,12,13,19"
31,"2,2,6,5,3,2,2,6,5,3","4,4,1,3,4,4,4,1,3,4","6,7,8,9,10,11,12,13,14,20"
32,"2,1,2,4,2,1,2,1","4,3,3,3,3,4,3,3","4,5,6,7,8,9,10,11"
33,"6,6,1,2,3,1,2,3,1,2","1,1,3,4,4,3,4,4,3,4","13,14,15,16,17,18,19,20,21,27"
34,"1,1,6,4,2,1,1,6,4,2","5,5,1,3,4,5,5,1,3,4","5,6,7,8,9,10,11,12,13,19"
